# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 2a5c0a1 (dirty)
# Timestamp: 2026-03-03T10:25:01Z
# N: 10000000  M: 20 (converged=true, min=8, max=20)  mode: in-memory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
# M4 Combinatorial RG Flow (Q_topo in Alexandrov intervals)
volume,n_prisms,local_phase_sq,local_mass_sq,local_q,local_alpha
2332,11,39,381,0.102362,0.004073
64931,1333,12531,57963,0.216190,0.008602
3792,23,186,937,0.198506,0.007898
295132,8085,61003,374742,0.162787,0.006477
6937,81,708,3772,0.187699,0.007468
944,3,6,90,0.066667,0.002653
752,2,32,32,1.000000,0.039789
108993,2518,18853,116479,0.161858,0.006440
81596,1778,14223,84969,0.167390,0.006660
1162,3,26,50,0.520000,0.020690
1919,2,32,145,0.220690,0.008781
1015,5,19,216,0.087963,0.003500
4089,32,201,1487,0.135171,0.005378
8364,47,458,1612,0.284119,0.011305
2934,13,148,552,0.268116,0.010668
57859,1201,9002,55245,0.162947,0.006483
64087,1072,15372,36625,0.419713,0.016700
16849,239,2191,9672,0.226530,0.009013
18107,184,1973,8086,0.244002,0.009709
3267,20,181,935,0.193583,0.007702
91886,2122,15296,99050,0.154427,0.006144
25524,420,2941,18815,0.156311,0.006219
389,1,4,16,0.250000,0.009947
689,2,2,50,0.040000,0.001592
26759,401,3339,19146,0.174397,0.006939
18624,204,2163,7903,0.273694,0.010890
24374,345,2290,14493,0.158007,0.006287
1438,4,56,344,0.162791,0.006477
19822,242,1782,10559,0.168766,0.006715
84564,1903,14097,84682,0.166470,0.006624
15915,139,2153,5203,0.413800,0.016465
14169,175,1262,8092,0.155957,0.006205
16093,249,1920,12136,0.158207,0.006295
1737,6,108,315,0.342857,0.013642
18882,281,2371,13027,0.182007,0.007242
3619,17,245,305,0.803279,0.031961
7955,71,531,3140,0.169108,0.006729
659,2,45,45,1.000000,0.039789
5449,16,225,429,0.524476,0.020868
5606,51,368,2504,0.146965,0.005848
25920,334,3342,14273,0.234148,0.009316
53381,1110,7999,52105,0.153517,0.006108
1825,2,18,18,1.000000,0.039789
10785,113,962,5102,0.188554,0.007502
92834,2052,14944,99720,0.149860,0.005963
439224,12638,110397,567721,0.194456,0.007737
162751,4130,30499,193004,0.158023,0.006288
2097,12,66,497,0.132797,0.005284
65672,1398,10141,65294,0.155313,0.006180
528,1,4,16,0.250000,0.009947
4009,18,249,857,0.290548,0.011561
3007,9,139,321,0.433022,0.017229
1152,1,49,49,1.000000,0.039789
40099,651,5258,28755,0.182855,0.007276
28993,543,3951,22893,0.172586,0.006867
1440,9,47,211,0.222749,0.008863
141070,3476,27709,160961,0.172147,0.006850
62941,1079,9967,46374,0.214926,0.008552
2557,16,104,519,0.200385,0.007973
52494,1044,8078,48432,0.166791,0.006636
2556,12,39,413,0.094431,0.003757
28406,428,3245,19044,0.170395,0.006780
34639,638,4704,29080,0.161761,0.006436
40645,813,6038,38146,0.158287,0.006298
1961,14,242,242,1.000000,0.039789
1660,8,45,364,0.123626,0.004919
1655,4,17,57,0.298246,0.011867
18749,302,2152,13038,0.165056,0.006567
18369,220,2390,8988,0.265910,0.010580
2129,7,68,320,0.212500,0.008455
27475,456,3685,19761,0.186478,0.007420
4062,24,103,858,0.120047,0.004777
10117,66,947,1543,0.613739,0.024420
1355,2,13,106,0.122642,0.004880
1663,6,34,175,0.194286,0.007730
32691,585,4433,25345,0.174906,0.006959
4164,21,221,1074,0.205773,0.008187
3837,22,165,960,0.171875,0.006839
1577,8,105,113,0.929204,0.036972
4447,41,251,1809,0.138751,0.005521
2235,7,112,144,0.777778,0.030947
30372,504,3620,24329,0.148794,0.005920
445,2,0,80,0.000000,0.000000
22431,357,2863,17470,0.163881,0.006521
1698,5,156,206,0.757282,0.030131
4652,41,260,1701,0.152851,0.006082
23996,238,2498,9334,0.267624,0.010648
23276,349,2628,17109,0.153603,0.006112
22276,295,2262,11783,0.191971,0.007638
3164,8,69,200,0.345000,0.013727
2175,9,42,457,0.091904,0.003657
70510,1531,10650,70514,0.151034,0.006009
140004,3260,25580,149044,0.171627,0.006829
2331,6,125,157,0.796178,0.031679
3877,25,222,999,0.222222,0.008842
87,1,4,16,0.250000,0.009947
30882,502,3584,21716,0.165040,0.006567
198,1,9,9,1.000000,0.039789
92956,2133,16193,98186,0.164922,0.006562
6826,54,720,1734,0.415225,0.016521
65175,1331,11245,58364,0.192670,0.007666
1283,4,9,117,0.076923,0.003061
5263,33,505,1198,0.421536,0.016772
10338,117,1077,6006,0.179321,0.007135
3823,21,219,914,0.239606,0.009534
4816,17,161,709,0.227080,0.009035
7078,58,771,2234,0.345121,0.013732
16797,227,1351,10578,0.127718,0.005082
1353,8,52,362,0.143646,0.005716
7543,76,563,3570,0.157703,0.006275
42109,807,6216,37551,0.165535,0.006586
533,1,1,25,0.040000,0.001592
26033,467,3321,21120,0.157244,0.006257
779,1,16,16,1.000000,0.039789
8746,91,897,3500,0.256286,0.010197
46768,822,7505,34316,0.218703,0.008702
30916,549,4781,26843,0.178110,0.007087
42605,856,6382,38343,0.166445,0.006623
20469,340,2265,15636,0.144858,0.005764
37552,700,4821,30539,0.157864,0.006281
11003,126,926,5290,0.175047,0.006965
58887,1168,9391,55911,0.167963,0.006683
10975,125,1042,6171,0.168854,0.006718
2273,5,42,270,0.155556,0.006189
15536,182,1733,7457,0.232399,0.009247
1166,2,4,52,0.076923,0.003061
12254,147,1083,6315,0.171496,0.006824
5006,40,605,1778,0.340270,0.013539
32085,540,4416,27106,0.162916,0.006482
699,2,10,58,0.172414,0.006860
99982,2359,16752,108263,0.154734,0.006157
5518,38,381,1601,0.237976,0.009469
5335,47,304,2469,0.123127,0.004899
12035,147,1134,6941,0.163377,0.006501
704,1,1,9,0.111111,0.004421
3277,22,166,1115,0.148879,0.005924
2817,17,181,1006,0.179920,0.007159
3708,36,211,1546,0.136481,0.005430
3085,7,36,196,0.183673,0.007308
110671,2397,18875,103990,0.181508,0.007222
959,1,25,25,1.000000,0.039789
2864,11,104,504,0.206349,0.008210
12036,95,731,3427,0.213306,0.008487
29520,574,4035,25933,0.155593,0.006191
98460,2084,15125,95528,0.158331,0.006300
40895,723,5228,33976,0.153873,0.006122
34032,592,4772,27690,0.172337,0.006857
1138,8,48,260,0.184615,0.007346
838,1,1,25,0.040000,0.001592
1243,2,17,61,0.278689,0.011089
4497,34,196,1338,0.146487,0.005829
41482,840,6024,38096,0.158127,0.006292
53353,1008,7699,48037,0.160272,0.006377
9778,106,725,4669,0.155280,0.006178
31483,389,4075,14456,0.281890,0.011216
978,3,67,115,0.582609,0.023181
6761,50,509,1860,0.273656,0.010888
1548,5,22,155,0.141935,0.005647
25197,360,2712,15373,0.176413,0.007019
1524,3,9,98,0.091837,0.003654
188145,4576,35445,209437,0.169239,0.006734
42898,722,6577,28272,0.232633,0.009256
25240,454,3421,20553,0.166448,0.006623
9071,80,578,3749,0.154174,0.006134
738,4,28,189,0.148148,0.005895
567,1,4,16,0.250000,0.009947
3409,14,84,685,0.122628,0.004879
1744,8,86,529,0.162571,0.006468
13406,124,1415,4906,0.288422,0.011476
24757,426,2721,19022,0.143045,0.005692
8891,92,656,3441,0.190642,0.007585
1003,3,5,297,0.016835,0.000670
12196,151,1172,8136,0.144051,0.005732
2138,5,96,173,0.554913,0.022079
32449,543,4263,25951,0.164271,0.006536
40285,684,5676,32255,0.175973,0.007002
14404,186,1801,7464,0.241292,0.009601
67953,1369,10288,63281,0.162576,0.006469
570,1,9,9,1.000000,0.039789
8058,66,589,2512,0.234475,0.009329
8524,81,816,3618,0.225539,0.008974
1773,4,27,135,0.200000,0.007958
2667,19,176,923,0.190683,0.007587
3929,31,256,1211,0.211396,0.008411
80070,1679,12655,73898,0.171250,0.006814
2655,12,295,295,1.000000,0.039789
1451,4,27,91,0.296703,0.011805
8805,92,645,4221,0.152807,0.006080
66145,1338,10375,59900,0.173205,0.006892
19776,263,2326,10644,0.218527,0.008695
1275,2,34,34,1.000000,0.039789
15419,185,1376,6726,0.204579,0.008140
2937,24,187,1121,0.166815,0.006637
60685,1036,10003,41051,0.243673,0.009695
5522,50,406,2573,0.157792,0.006278
45507,856,7126,38286,0.186125,0.007406
1499,1,1,9,0.111111,0.004421
13828,133,1572,4592,0.342334,0.013621
2855,9,119,553,0.215190,0.008562
1023,2,58,58,1.000000,0.039789
7446,63,444,2495,0.177956,0.007081
28467,310,3211,12619,0.254458,0.010125
60594,1187,9597,54024,0.177643,0.007068
1502,6,53,153,0.346405,0.013783
33545,515,4513,21704,0.207934,0.008273
114364,2700,20092,123829,0.162256,0.006456
3271,14,226,411,0.549878,0.021879
7041,64,498,2807,0.177414,0.007059
326632,8497,72133,385248,0.187238,0.007450
1181,3,77,77,1.000000,0.039789
14647,181,1374,9006,0.152565,0.006070
1601,4,30,43,0.697674,0.027760
3313,19,222,778,0.285347,0.011354
37294,656,5233,30256,0.172957,0.006882
25659,360,2609,14723,0.177206,0.007051
4878,33,329,1630,0.201840,0.008031
26346,315,2710,13270,0.204220,0.008126
356,1,16,16,1.000000,0.039789
20182,274,2113,11851,0.178297,0.007094
321,2,25,25,1.000000,0.039789
12247,156,1238,6948,0.178181,0.007090
2798,8,32,255,0.125490,0.004993
4831,17,284,382,0.743455,0.029581
237596,5965,52131,265122,0.196630,0.007824
