# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 2a5c0a1 (dirty)
# Timestamp: 2026-03-03T10:25:01Z
# N: 10000000  M: 20 (converged=true, min=8, max=20)  mode: in-memory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
34,8.105188760751587e-5,2.8716,8.895533411516997e-5,2.5348,7.217570990111599e-5,4.9732,6.609934340314825e-5,3.4747,6.572752832630423e-5,-15.9155,7.306035359649537e-5,3.9401,9.390994163888397e-2,6.512948108516033e-4,3.9199825477595707e-7,1.0287424813015114e-8,6.474784632221886e-5,5.6355,4.55,6.53,7.73,4.45,0.847454,0.959816,10.839824,2.096410,243.009544,4.354453,4.311280,8.369121934074767e-3,1.1785481597228606e-4
36,7.595208343999591e-5,1.1570,8.707915616040344e-5,1.2863,6.934131990719293e-5,2.4514,5.694835674366760e-5,4.8042,1.897002117894302e-4,-18.3886,6.125486442437578e-5,4.0530,5.714145129389951e-2,2.54082038384233e-4,2.385214877290789e-7,4.013289843253818e-9,5.451497454896062e-5,4.0784,4.55,6.53,7.73,4.45,248.060277,3.641145,14.094525,2.297162,257.118506,8.109382,5.222628,6.148940845719957e-3,6.569837679945585e-5
38,7.600083156806779e-5,2.8546,8.281431993011469e-5,2.0368,6.297726379212094e-5,4.5442,5.060170479754982e-5,-4.4609,1.827575169665305e-4,28.3284,5.831658618307584e-5,0.8436,2.8570327843466616e-2,7.95671442978135e-5,1.192639986099096e-7,1.2577848029308672e-9,5.160867058248923e-5,2.2470,4.55,6.53,7.73,4.45,1.036012,0.950182,11.369650,266.691692,269.270123,7.507763,5.278158,3.6665375238147837e-3,2.913584872499721e-5
40,6.534749065635880e-5,4.2948,7.821949637133933e-5,4.0177,5.457907429166471e-5,5.3315,7.203448330579531e-5,3.2099,4.265305283258226e-5,28.6654,5.859222339555516e-5,2.8857,1.1384314672654938e-2,1.82674454004621e-5,4.752951505493938e-8,2.884075740197673e-10,4.842919410415347e-5,2.7918,4.55,6.53,7.73,4.45,274.396000,2.807084,13.513238,3.726471,283.875470,7.185919,7.122367,1.8084251870529515e-3,1.0373001230638604e-5
42,6.130264597839444e-5,2.0474,6.773114912387364e-5,2.4049,4.822985600818468e-5,8.2957,4.309291793641902e-5,2.9854,4.354070344782717e-5,0.6226,5.047515885956750e-5,5.5182,3.368069453416892e-3,2.9295898590861433e-6,1.4063925541593246e-8,4.637679867336172e-11,4.487966966899361e-5,5.1392,4.55,6.53,7.73,4.45,1.053361,1.064926,19.655652,2.944779,7.594884,7.275784,7.786951,7.616421218125288e-4,2.8974612558498912e-6
44,5.927272392740119e-5,2.2922,6.974982160685028e-5,0.2715,3.675659152636204e-5,5.9407,6.248186111421716e-5,4.0704,4.140611858969816e-5,4.2042,4.504360126366855e-5,4.1095,6.660215996451481e-4,3.4411252218334157e-7,2.781908187462685e-9,5.368083171680557e-12,3.790924948960798e-5,3.5812,4.55,6.53,7.73,4.45,0.868670,4.389596,412.725013,3.643198,7.167510,7.595814,7.894702,2.3174977860368286e-4,9.131541434494613e-7
46,5.523287905744418e-5,0.2148,6.689993104264794e-5,1.9775,3.680969380981238e-5,-2.3770,3.580954618638283e-5,15.1671,3.596202362917850e-5,2.7786,4.186950168676132e-5,4.5088,7.854662046287363e-5,0e0,3.2808349188071016e-10,0e0,3.813335761836561e-5,3.5756,4.55,6.53,7.73,4.45,316.805881,1.326623,313.192565,320.774950,6.743714,7.605996,10.759743,3.718905897402324e-5,0e0
48,5.872149509458838e-5,2.2616,6.400004239837188e-5,4.0689,4.076115499878933e-5,-1.5865,3.229847410513361e-5,3.2117,3.669143275249885e-5,2.6259,3.702047743614937e-5,3.8567,6.519057584425275e-6,0e0,2.723927114939858e-11,0e0,3.244794394227626e-5,3.4861,4.55,6.53,7.73,4.45,0.999642,3.776643,728.804561,3.107694,8.953919,11.835812,11.043160,5.8033411249977e-6,0e0
50,5.026306989811592e-5,4.8078,5.646158187525599e-5,1.8426,3.932667474682198e-5,6.5510,3.132187200464906e-5,-11.5957,3.223287996149174e-5,5.0853,3.565076403195307e-5,5.0567,1.8481062757904408e-7,0e0,7.721759772298469e-13,0e0,3.297506609415427e-5,-43.7162,4.55,6.53,7.73,4.45,343.231534,1.337127,584.897783,349.954558,7.244410,12.806814,355.820765,5.772624210608629e-7,0e0
52,4.844313978343230e-5,2.1465,5.945021711166290e-5,2.2736,3.136051343042300e-5,2.8827,5.137214110525709e-5,4.7374,2.993481756190723e-5,5.7138,3.023792279441019e-5,4.2415,0e0,0e0,0e0,0e0,1.866471535138297e-4,4.9379,4.55,6.53,7.73,4.45,1.023614,1.273317,698.853122,4.001057,9.151168,12.503126,10.414013,0e0,0e0
