# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 2a5c0a1 (dirty)
# Timestamp: 2026-03-03T04:13:44Z
# N: 10000000  M: 12 (converged=false, min=8, max=20)  mode: inmemory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
42,6.383921524080142e-5,1.8642,6.944524996906785e-5,1.8813,4.878086999733528e-5,8.1550,4.144084438335243e-5,1.8978,4.091153666662840e-5,1.1560,5.108260031120831e-5,5.9187,3.4417114044895353e-3,3.0911307184697037e-6,1.4372141215033864e-8,4.9127179992273354e-11,4.449449196753995e-5,3.6285,4.55,6.53,7.73,4.45,0.947583,1.026919,22.014008,2.794861,5.564848,5.868063,7.940755,7.536328896453375e-4,3.5781885786485945e-6
44,6.224760969178785e-5,2.2206,7.569292672494710e-5,-1.0099,3.469880594599005e-5,9.3698,7.719242878424455e-5,4.8702,3.947483074377596e-5,3.5775,4.666922373025897e-5,4.3477,6.732663596328905e-4,1.3473544426048552e-7,2.8116609723998637e-9,2.129598600564037e-12,3.788562832754344e-5,6.3089,4.55,6.53,7.73,4.45,0.588698,5.805173,379.900494,3.808189,7.726427,4.905844,6.999329,2.106053396307062e-4,4.667372700790508e-7
46,5.770611741842446e-5,2.8149,7.270970794721482e-5,1.6440,3.185342884298445e-5,0.8965,3.320640734462460e-5,20.9628,3.476755391029295e-5,4.0375,4.191665271409582e-5,6.1022,7.586602775048493e-5,0e0,3.168029243286252e-10,0e0,3.339472909915887e-5,6.3396,4.55,6.53,7.73,4.45,0.904039,1.261509,410.240782,419.901868,6.577662,9.000260,12.003070,3.727964040320862e-5,0e0
48,5.507288520120828e-5,2.4676,7.046812735724281e-5,5.0507,3.337144950906983e-5,0.9899,3.100965448686947e-5,2.1974,3.311580373861145e-5,2.6623,3.578778481908884e-5,3.4216,6.738476000948906e-6,0e0,2.8135054634356485e-11,0e0,2.875355538130841e-5,2.1729,4.55,6.53,7.73,4.45,0.987079,5.024422,855.490504,3.055151,7.560622,12.361866,13.112686,6.554115116712303e-6,0e0
50,5.206466738343914e-5,2.0599,5.890398808685747e-5,1.3601,3.056566388534441e-5,0.4701,3.029951091181532e-5,-19.5851,3.111509769336949e-5,3.3123,3.634420947848681e-5,0.8683,1.7925156020557994e-7,0e0,7.450034712727497e-13,0e0,3.050242451417105e-5,-57.7495,4.55,6.53,7.73,4.45,1.068750,1.092834,446.444854,457.584745,7.538716,10.903279,463.050021,6.209456192241121e-7,0e0
52,5.071471922144856e-5,2.0098,6.673493737840466e-5,2.1449,3.274944653195729e-5,4.2938,6.790578923858823e-5,4.8304,2.900438581776010e-5,5.3394,3.456551968425145e-5,2.9751,0e0,0e0,0e0,0e0,2.900269819591858e-4,4.0859,4.55,6.53,7.73,4.45,0.828324,1.565846,918.834718,3.742977,8.112991,13.686932,11.849540,0e0,0e0
54,4.818981617772544e-5,2.0492,5.423750061330978e-5,6.3572,2.591053942682041e-5,14.7115,2.515994867020091e-5,26.9904,2.533610919755021e-5,2.4966,3.241271501758353e-5,11.0318,0e0,0e0,0e0,0e0,2.606463992474885e-5,62.0679,4.55,6.53,7.73,4.45,1.188680,5.583717,947.796190,492.475386,10.477951,12.099516,500.236731,0e0,0e0
56,4.700652828264727e-5,1.8505,5.272922519775240e-5,1.7523,1.898723995795468e-5,5.7991,2.497861528897525e-5,3.2286,2.644161050113878e-5,2.8501,2.296763964140459e-5,10.2438,0e0,0e0,0e0,0e0,2.908175846084464e-5,6.3678,4.55,6.53,7.73,4.45,0.712988,1.373394,854.051769,5.838313,15.175866,12.763421,9.281478,0e0,0e0
58,4.510660123984572e-5,1.9446,5.094596034178954e-5,1.5381,2.106162509603018e-5,-13.4908,2.241872683281864e-5,4.1047,2.288306750909153e-5,5.7120,2.247819156542920e-5,-4.7675,0e0,0e0,0e0,0e0,2.076069249882145e-5,10.1983,4.55,6.53,7.73,4.45,1.599423,1.144809,1020.570080,4.313520,13.429994,23.380370,15.197795,0e0,0e0
60,4.395664539815005e-5,1.5461,5.000432983373439e-5,1.4883,3.023955512179964e-5,-4.1316,2.168067165623854e-5,2.9122,2.171264251492049e-5,6.2145,2.707333608580964e-5,-5.0814,0e0,0e0,0e0,0e0,2.045658959114207e-5,1.2600,4.55,6.53,7.73,4.45,1.487152,1.044450,1191.348262,4.593327,12.713653,16.140422,9.813502,0e0,0e0
62,4.284002160983685e-5,1.6406,4.847938839148576e-5,1.8185,2.417268186262657e-5,9.6366,2.034405668174191e-5,6.1398,1.860013743262099e-5,7.2607,2.662868265040772e-5,4.2290,0e0,0e0,0e0,0e0,1.990647993089712e-5,1.5862,4.55,6.53,7.73,4.45,1.677507,1.450202,775.528377,6.482648,12.668969,18.896368,13.731560,0e0,0e0
