# FEG Kuratowski Calculus Engine (FEG_prism)
# Author: Juan Pablo Silva Alvarado
# DOI: 10.5281/zenodo.18769707
# Framework: Fractal Entropic Geometrodynamics
# Provenance SHA-256: a4fee33737305b5eb78a16be2ff233bdce125bffa352127fcbcd997d018c05aa
# Commit: 5b07174 (dirty)
# Timestamp: 2026-02-25T04:59:21Z
# N: 10000000  M: 14 (converged=false, min=8, max=20)  mode: inmemory
# epsilon: 0.06666666666666667  tmax: 100  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
40,7.101587301587301e-5,2.2491,6.822222222222222e-5,2.2689,5.069841269841269e-5,4.3380,5.066666666666667e-5,3.9557,5.063492063492064e-5,3.4049,5.587301587301588e-5,4.8275,3.371256924419392e-4,2.285170294770641e-6,1.4087251443954982e-9,3.6563739479518166e-11,4.822222222222223e-5,3.5899,4.56,6.53,7.73,4.45,1.499552,1.440940,2.544940,1.584474,2.571774,2.620618,2.420085,9.532933928752214e-5,5.59836906638139e-6
42,6.688888888888889e-5,2.3920,6.415873015873018e-5,2.4192,4.412698412698413e-5,4.1089,4.568253968253968e-5,4.4017,4.682539682539683e-5,3.6712,4.914285714285714e-5,3.7639,9.722147106222755e-5,0e0,4.062360080978973e-10,0e0,4.549206349206349e-5,3.5923,4.56,6.53,7.73,4.45,1.736668,1.386790,2.774807,2.989859,3.036956,2.611356,2.850912,3.249807730630586e-5,0e0
44,6.336507936507937e-5,2.1926,6.079365079365080e-5,2.3151,4.168253968253968e-5,3.3600,4.107936507936507e-5,4.1770,4.250793650793651e-5,4.4084,4.669841269841270e-5,2.6374,9.081360001160311e-6,0e0,3.792130400273031e-11,0e0,4.063492063492063e-5,3.5739,4.56,6.53,7.73,4.45,1.098589,1.455285,2.398391,2.803529,2.388048,2.634222,3.187022,1.1619336046226656e-5,0e0
46,6.053968253968255e-5,2.1597,5.774603174603175e-5,1.6287,3.787301587301586e-5,3.9435,3.777777777777778e-5,2.8923,3.831746031746032e-5,2.3285,4.358730158730160e-5,3.7236,5.628654357815134e-6,0e0,2.3509061407558255e-11,0e0,3.866666666666667e-5,1.9088,4.56,6.53,7.73,4.45,1.723478,2.281277,3.797349,2.698444,3.089175,3.211520,3.494021,9.628945900181857e-6,0e0
48,5.768253968253968e-5,2.0745,5.663492063492063e-5,1.6794,3.511111111111111e-5,3.7814,3.622222222222222e-5,2.0395,3.841269841269841e-5,3.7804,3.971428571428571e-5,3.5118,1.1237444964613286e-6,0e0,4.676345364460552e-12,0e0,3.739682539682540e-5,4.2788,4.56,6.53,7.73,4.45,2.146027,1.974960,3.475405,3.510384,2.383110,3.093592,3.578944,4.051718402511783e-6,0e0
50,5.552380952380952e-5,1.9291,5.384126984126984e-5,3.0184,3.234920634920636e-5,4.0369,3.469841269841270e-5,4.3680,3.273015873015872e-5,6.2029,3.765079365079364e-5,3.2368,0e0,0e0,0e0,0e0,3.234920634920635e-5,5.2438,4.56,6.53,7.73,4.45,1.406676,2.073412,5.160340,2.772960,4.567200,3.139926,4.833494,0e0,0e0
52,5.339682539682539e-5,2.0393,5.019047619047620e-5,3.1395,2.987301587301587e-5,3.1119,3.041269841269841e-5,4.3089,2.996825396825397e-5,2.8756,3.488888888888889e-5,3.5391,0e0,0e0,0e0,0e0,3.031746031746032e-5,3.5760,4.56,6.53,7.73,4.45,1.883650,1.831740,4.003166,5.711037,3.029279,4.135863,5.135340,0e0,0e0
54,5.133333333333333e-5,2.2405,4.771428571428572e-5,1.8546,2.869841269841269e-5,4.4823,2.939682539682540e-5,4.0664,2.930158730158730e-5,1.9561,3.285714285714286e-5,3.9035,0e0,0e0,0e0,0e0,2.819047619047619e-5,4.6449,4.56,6.53,7.73,4.45,1.520741,2.235410,5.100999,4.150220,4.341028,4.116810,3.617511,0e0,0e0
56,4.914285714285714e-5,2.3834,4.685714285714286e-5,1.0627,2.530158730158730e-5,4.6361,2.615873015873016e-5,3.7459,2.787301587301588e-5,5.2915,3.019047619047619e-5,3.7257,0e0,0e0,0e0,0e0,2.552380952380953e-5,5.0650,4.56,6.53,7.73,4.45,2.078312,2.112383,3.725142,4.909137,4.195033,5.877135,5.001203,0e0,0e0
58,4.714285714285715e-5,1.4200,4.593650793650794e-5,1.9285,2.431746031746032e-5,2.5852,2.571428571428571e-5,3.2740,2.425396825396825e-5,4.8396,2.876190476190477e-5,3.9450,0e0,0e0,0e0,0e0,2.352380952380953e-5,5.1127,4.56,6.53,7.73,4.45,3.187327,2.667865,5.913088,6.629396,7.634643,5.782528,3.159973,0e0,0e0
