# commit: cff5bb5 (dirty)
# N: 1000000  M: 8 (converged=true, min=8, max=10)  mode: in-memory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# timestamp: 2026-02-19T02:03:01Z
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
50,1.272222222222223e-4,1.3702,1.250555555555556e-4,1.4709,3.938888888888889e-5,2.9430,4.138888888888888e-5,0.8280,4.327777777777778e-5,3.7244,4.888888888888889e-5,2.1488,0e0,0e0,0e0,0e0,4.011111111111111e-5,2.7829,4.53,6.51,7.83,4.56,1.128398,0.607984,3.147863,4.392342,3.858261,1.272999,2.594758,0e0,0e0
52,1.251666666666667e-4,0.5157,1.227777777777778e-4,0.5366,3.911111111111111e-5,3.6119,4.122222222222222e-5,4.0292,3.905555555555556e-5,2.3371,4.577777777777778e-5,2.8037,0e0,0e0,0e0,0e0,3.866666666666666e-5,2.9710,4.53,6.51,7.83,4.56,0.797543,1.110680,4.393436,1.700527,2.038833,2.981381,3.324015,0e0,0e0
54,1.247222222222222e-4,0.7162,1.225000000000000e-4,0.3812,3.427777777777777e-5,7.0576,3.544444444444444e-5,4.4160,3.955555555555556e-5,0.8581,4.388888888888888e-5,2.8289,0e0,0e0,0e0,0e0,3.577777777777778e-5,4.0956,4.53,6.51,7.83,4.56,2.064132,1.134537,3.953411,3.079579,4.518933,2.683690,3.206608,0e0,0e0
56,1.218888888888889e-4,1.3668,1.210555555555556e-4,1.6199,3.011111111111111e-5,3.1157,3.500000000000000e-5,1.5791,3.783333333333334e-5,4.6970,4.122222222222222e-5,4.9051,0e0,0e0,0e0,0e0,3.322222222222222e-5,3.1232,4.53,6.51,7.83,4.56,0.961752,0.824016,4.428657,2.802544,2.570034,5.364045,2.038420,0e0,0e0
58,1.187777777777778e-4,1.0220,1.156111111111111e-4,1.7691,3.066666666666667e-5,0.2687,3.350000000000000e-5,3.6743,3.344444444444445e-5,5.4646,3.683333333333334e-5,3.6153,0e0,0e0,0e0,0e0,3.200000000000000e-5,2.5311,4.53,6.51,7.83,4.56,1.482248,0.996229,5.661386,4.500757,3.943520,4.554484,3.631125,0e0,0e0
60,1.176666666666667e-4,0.9693,1.138888888888889e-4,1.1906,2.983333333333333e-5,3.6342,3.083333333333334e-5,2.5958,3.133333333333333e-5,2.9281,3.638888888888889e-5,4.1664,0e0,0e0,0e0,0e0,3.044444444444445e-5,3.7084,4.53,6.51,7.83,4.56,1.508032,1.439659,5.020225,5.045675,3.418684,2.510868,5.164913,0e0,0e0
62,1.150000000000000e-4,1.3151,1.111111111111111e-4,0.7652,2.716666666666667e-5,1.4169,3.072222222222222e-5,2.9257,3.033333333333333e-5,1.7519,3.205555555555556e-5,4.2532,0e0,0e0,0e0,0e0,2.827777777777778e-5,3.3405,4.53,6.51,7.83,4.56,1.994913,0.784588,5.142668,4.437789,4.689055,4.715765,5.142633,0e0,0e0
64,1.127777777777778e-4,0.9728,1.111111111111111e-4,0.0961,2.850000000000000e-5,-0.6476,2.805555555555555e-5,5.2705,2.961111111111111e-5,4.1213,3.172222222222222e-5,2.1200,0e0,0e0,0e0,0e0,2.733333333333333e-5,2.0771,4.53,6.51,7.83,4.56,0.627348,0.820214,4.143376,5.466663,4.233292,3.378922,6.548727,0e0,0e0
66,1.115555555555556e-4,0.7229,1.107777777777778e-4,0.8352,2.772222222222222e-5,5.5169,2.605555555555555e-5,1.2652,2.666666666666667e-5,3.5240,3.000000000000000e-5,1.5374,0e0,0e0,0e0,0e0,2.650000000000000e-5,0.7459,4.53,6.51,7.83,4.56,1.634486,0.833162,7.900760,4.533663,4.213911,3.017026,5.235876,0e0,0e0
68,1.103333333333333e-4,0.6667,1.083333333333333e-4,1.1089,2.411111111111111e-5,5.2964,2.700000000000000e-5,0.2181,2.661111111111111e-5,1.0791,3.027777777777778e-5,-0.0000,0e0,0e0,0e0,0e0,2.672222222222222e-5,1.2335,4.53,6.51,7.83,4.56,1.338909,0.791341,4.150755,5.862263,2.340941,4.432189,6.801437,0e0,0e0
