# commit: cff5bb5 (dirty)
# N: 100000  M: 10 (converged=false, min=8, max=10)  mode: in-memory
# epsilon: 0.01  tmax: 15  walkers: 2250000
# algorithm: forward-forward belly (children(u) ∩ parents(v))
# timestamp: 2026-02-19T01:45:31Z
# seed: 42
step,P_vac,dS_vac,P_def,dS_def,P_Gen1,dS_Gen1,P_Gen2,dS_Gen2,P_Gen3,dS_Gen3,P_Anti1,dS_Anti1,Flux_Attr,Flux_Repu,Flux_Attr_Norm,Flux_Repu_Norm,P_Sterile,dS_Sterile,Mass_Gen1,Mass_Gen2,Mass_Gen3,Mass_Anti1,dS_vac_std,dS_def_std,dS_Gen1_std,dS_Gen2_std,dS_Gen3_std,dS_Anti1_std,dS_Sterile_std,Flux_Attr_std,Flux_Repu_std
36,4.785333333333333e-4,0.6738,4.772000000000000e-4,0.5533,9.706666666666666e-5,3.1415,1.072000000000000e-4,2.6850,1.159555555555556e-4,2.4978,1.280444444444444e-4,3.0890,0e0,0e0,0e0,0e0,1.020444444444445e-4,3.1586,4.55,6.48,7.88,4.66,0.321942,0.391549,0.985437,0.903107,1.861424,1.384033,1.758007,0e0,0e0
38,4.691111111111111e-4,0.7205,4.693333333333333e-4,0.5470,8.986666666666666e-5,2.6743,1.001777777777778e-4,2.3602,1.091555555555556e-4,2.9711,1.166666666666666e-4,3.3021,0e0,0e0,0e0,0e0,9.928888888888889e-5,2.1883,4.55,6.48,7.88,4.66,0.361011,0.482242,1.963941,1.803793,1.464840,1.480482,1.486009,0e0,0e0
40,4.607111111111110e-4,0.5392,4.636444444444444e-4,0.5331,8.431111111111112e-5,2.1692,9.466666666666666e-5,1.7985,9.915555555555556e-5,3.4169,1.076000000000000e-4,2.6325,0e0,0e0,0e0,0e0,9.093333333333333e-5,3.1103,4.55,6.48,7.88,4.66,0.451453,0.308578,1.694486,1.417864,2.192977,1.655758,1.470211,0e0,0e0
42,4.566222222222222e-4,0.4419,4.569777777777777e-4,0.6392,8.062222222222222e-5,2.1042,9.155555555555557e-5,1.6173,9.200000000000000e-5,3.3921,1.022666666666667e-4,1.5091,0e0,0e0,0e0,0e0,8.497777777777778e-5,2.1245,4.55,6.48,7.88,4.66,0.197534,0.260241,2.613351,1.872150,2.022775,1.844054,1.354460,0e0,0e0
44,4.511111111111112e-4,0.3777,4.497333333333333e-4,0.5675,7.626666666666667e-5,2.9253,8.764444444444444e-5,2.7233,8.435555555555555e-5,3.0726,1.001333333333333e-4,1.4718,0e0,0e0,0e0,0e0,8.217777777777778e-5,1.3760,4.55,6.48,7.88,4.66,0.207777,0.323978,2.245689,2.009095,2.130088,1.968625,1.357224,0e0,0e0
46,4.488444444444445e-4,0.4390,4.453333333333333e-4,0.5099,7.057777777777777e-5,2.9395,8.088888888888889e-5,3.5607,7.999999999999999e-5,2.3573,9.564444444444444e-5,3.4618,0e0,0e0,0e0,0e0,7.982222222222223e-5,2.2032,4.55,6.48,7.88,4.66,0.216305,0.378000,2.556768,2.396918,2.548400,2.318706,2.893838,0e0,0e0
48,4.425777777777778e-4,0.5550,4.398666666666667e-4,0.4421,6.711111111111110e-5,1.9665,7.506666666666666e-5,3.0602,7.613333333333333e-5,1.8844,8.613333333333334e-5,3.5881,0e0,0e0,0e0,0e0,7.466666666666667e-5,3.9391,4.55,6.48,7.88,4.66,0.442339,0.486485,2.694592,2.185095,2.202302,1.412225,1.925728,0e0,0e0
50,4.385777777777778e-4,0.3334,4.372000000000000e-4,0.4278,6.502222222222222e-5,2.1591,7.120000000000000e-5,2.1137,7.395555555555556e-5,2.9375,8.235555555555556e-5,2.4784,0e0,0e0,0e0,0e0,6.773333333333333e-5,3.9212,4.55,6.48,7.88,4.66,0.484777,0.507041,3.003273,2.753512,3.605403,2.196273,2.980658,0e0,0e0
52,4.367111111111111e-4,0.3233,4.324000000000000e-4,0.4127,6.155555555555555e-5,1.6500,6.897777777777777e-5,1.7617,6.768888888888889e-5,1.9619,7.800000000000000e-5,2.0567,0e0,0e0,0e0,0e0,6.382222222222222e-5,2.2054,4.55,6.48,7.88,4.66,0.563768,0.578110,2.548577,2.087883,2.619156,3.093349,2.701120,0e0,0e0
54,4.331555555555556e-4,0.2650,4.303111111111111e-4,0.1809,6.102222222222223e-5,2.0645,6.653333333333333e-5,1.6307,6.857777777777777e-5,2.1764,7.608888888888888e-5,2.3440,0e0,0e0,0e0,0e0,6.222222222222222e-5,2.1508,4.55,6.48,7.88,4.66,0.326771,0.486546,3.143514,2.074572,2.399180,3.327974,3.293387,0e0,0e0
56,4.324444444444444e-4,0.4487,4.295111111111111e-4,0.2439,5.702222222222223e-5,3.1922,6.493333333333333e-5,2.8721,6.244444444444444e-5,2.4831,7.151111111111112e-5,3.6254,0e0,0e0,0e0,0e0,5.893333333333334e-5,2.9488,4.55,6.48,7.88,4.66,0.487111,0.388913,3.221653,3.064186,2.255686,3.481409,2.826483,0e0,0e0
58,4.262666666666667e-4,0.5201,4.265777777777778e-4,0.4382,5.444444444444445e-5,2.1570,6.004444444444445e-5,5.1309,6.275555555555557e-5,1.4815,6.684444444444444e-5,2.3248,0e0,0e0,0e0,0e0,5.600000000000001e-5,1.4111,4.55,6.48,7.88,4.66,0.310547,0.343010,3.090343,2.593943,1.346728,2.409563,2.587227,0e0,0e0
60,4.247555555555556e-4,0.2165,4.230666666666666e-4,0.5614,5.293333333333334e-5,2.4739,5.440000000000000e-5,1.5020,5.933333333333333e-5,2.5245,6.600000000000001e-5,1.8929,0e0,0e0,0e0,0e0,5.613333333333334e-5,0.2390,4.55,6.48,7.88,4.66,0.574075,0.368645,6.311942,3.753744,1.439363,3.437448,4.692256,0e0,0e0
62,4.232000000000000e-4,0.3883,4.186666666666667e-4,0.4327,5.013333333333332e-5,3.5526,5.711111111111111e-5,0.9512,5.768888888888888e-5,3.1235,6.275555555555556e-5,2.7021,0e0,0e0,0e0,0e0,5.555555555555554e-5,1.3029,4.55,6.48,7.88,4.66,0.529791,0.387329,3.239871,3.479280,2.688339,1.487411,4.279107,0e0,0e0
